,mid,uid,repost_count,like_count,comment_count,verification,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,positive_prob,surprise,comments_count,average_commenter_follow,average_commenter_follower,average_moral_word,average_immoral_word,commenter_gender_ratio,average_positive_possibility,positive_negative_ratio,average_text_lenth,average_moral_score,average_moral_emo,average_nonmoral_emo,moral_emo,nonmoral_emo,keyword_code
40,4960332201593383,3866422211,1,4,3,0,"@李雅素@杨 Di is reasonable. You artists are not like those zero-cost keyboard &quot;dog lovers&quot;. It’s not a problem to build a stray dog rescue base and adopt some stray dogs, right? There are so many “dog lovers” across the country who can’t rescue these stray dogs? It turns out they were all just words.",36,1.3025533660515265,3,0,36,100.0,1,2,511.5,10000.0,1,0,0.5,99.9873,3.0,21.0,1.4583,0.0,2.5,2,3,4
45,4960118595125725,3918486884,0,1,3,0,"So much love for dogs. . . Just love your own dog. If you love a stray dog, take it home and raise it. If it attacks and bites someone, just be responsible.",18,5.187570604054721,2,0,19,99.9741,0,2,222.0,94698.5,0,0,0.5,33.3504,0.3333,9.5,-1.0936,0.5,0.0,1,1,4
47,4960103063093623,2147260592,0,4,5,0,"China speaks out for the Palestinian people&#39;s right to exist, so will China be responsible for the lives of the Palestinian people and prevent them from coming to live in China? If someone speaks out for the homeless and the poor, should the person who speaks out be responsible for providing shelter for the homeless and donating their own money to the poor? unnecessary,! ! ! So do celebrities who speak out for stray dogs have to take all stray dogs into their homes? Do they have to be provided with housing? What&#39;s wrong with speaking up for life and speaking out for justice? Those who denounce and attack those who speak out for dogs say that the emergence of a large number of celebrities at the same time is a kind of incitement and a conspiracy. I think you are a conspiracy to deliberately stir up ideological conflicts and opposition among the people at the bottom! Come up and give a hat to those who speak out for dogs. All dog owners will support the regulation of dog breeding and agree to the introduction of relevant policies. If our dog is a dog that bites people and gets into trouble, how can we let it go out and get into trouble after we have eaten enough? Naturally, he cooperated, and he was held tightly when going out. What we call for is to stop the wholesale killing of all stray dogs in public, and for those evil people who take advantage of this public opinion to indulge their inner desire to abuse animals. We are not evil, no one gave us 2.08 million, and we have no power. We just speak out for life simply out of love. Hide d",129,-0.130943270143544,6,5,119,100.0,0,1,635.0,235.0,2,0,0.0,95.0273,2.0,31.0,0.8491,1.0,4.0,13,9,4
49,4960069986812267,5855469355,0,3,1,0,"Before today, I didn’t understand why some people would be so mean to &quot;stray dogs&quot; and insist on killing them all. But when I was walking on the road normally, three gray teddy dogs suddenly ran towards me like crazy and I understood why they were not so-called strays. Dogs can also get out of control. What I mean is that the current point of contention is that these stray dogs have no civil subject to hold accountable, and these vicious biting dogs (not stray dogs) would be a bad thing if there were a so-called dog-loving association to stand up and protect the country from being bitten by stray dogs. If people behave responsibly or can eliminate safety hazards, I don’t think there will be so many people clamoring to catch dogs, but at the same time solve the problem instead of raising and expanding the problem. The earth is not mankind’s own home. As the possessors of the most advanced wisdom at present, human beings protect others. The living rights of living things can be concentrated and protected, which can also reflect our 🇨🇳 unique humanistic care. People no longer need to be afraid of being bitten by dogs. Also, don’t focus on driving away stray dogs, domestic violence, anti-social mental illness, and hurting people. There are many more vicious dogs but they are not treated with the same serious attitude. Do humans only bully the weak?",134,-0.4014919922628454,3,5,126,100.0,0,1,148.0,87.0,0,0,0.0,77.1255,2.0,3.0,0.0,1.0,0.0,8,12,4
52,4959988801603477,5148583229,0,1,3,0,"In recent days, I keep seeing people ask, if the owner’s dog bites someone, why do we deal with stray dogs? Let me answer. If an owner&#39;s dog bites someone, at least you can find the owner responsible. Because there are disputes, there are more reports. What about stray dogs? Who is responsible for being bitten? If the bite hadn&#39;t been so severe, it might not even have been reported. But in fact, these are the majority of people who are bitten! Even if you haven’t been bitten or been frightened, it doesn’t mean there’s no problem! Does the person who asked this question think that stray dogs will not bite people? Hide d",68,-0.1909403053341129,2,0,67,63.2583,0,1,100.0,28.0,0,0,0.0,55.0733,2.0,9.0,0.0,0.0,0.0,3,2,4
56,4959939796141585,2719238050,0,1,1,0,"Last night, a caring old lady in our community posted a video of a stray dog biting a child in the group chat. I was thinking about this person who is the most diligent in feeding stray cats and dogs - the stray dog that almost bit me last year was the one that was brought into the community. She said she planned to adopt her, but she let her dog loose in the community because the family dog did not agree. Raised one - why did he suddenly change his temper? I found out this morning that she posted another video, to the effect that stray dogs bite people and the property management of the community is responsible. Haha, that’s it. Although the property management of the community is indeed responsible, isn&#39;t the biggest problem the caring people who admit stray dogs into the community? ! Want to feed stray dogs but are afraid of taking responsibility and dumping the blame in advance? This person&#39;s mind is really flexible! Now that this is the case, I, a legal illiterate, have to help the caring old lady to spread the law. So I spoke in the group: People who often feed stray dogs are regarded as dog owners. Stray dogs hurt people, and the people who feed them must be responsible. After I finished posting, I felt much better. There are many elderly people and children in our community, so we need to educate people on the law and build a safe and harmonious community together. Hide d",119,0.3435115850916165,8,1,114,100.0,0,1,187.0,344.0,0,0,0.0,7.6775,0.5,11.0,-1.8116,1.0,0.0,3,10,4
57,4959937711309852,2101255725,0,0,3,0,Who is responsible when a stray dog bites someone? Who will compensate the person who was bitten? Animal health? Community/school/zf? A dog lover who speaks out for stray dogs?,19,4.223836056749213,2,0,20,99.9406,0,1,60.0,15.0,1,0,1.0,16.3788,0.5,12.0,1.3031,1.0,1.0,0,2,4
61,4959893363622286,1929941723,1,1,2,0,"I will take a stick when I go up the mountain, just to protect myself, not specifically to beat them to death! I don’t blame the dogs for barking at me, because I know it’s not my mountain! It’s not a stray dog that bites! Stray dogs have no time to please humans, so how can they dare to bite humans? ? ? If something goes wrong, whose dog is responsible, don&#39;t involve other animals! Humans are not nobler than dogs! Even lower than a dog! ! ! Sorry, that&#39;s a little insulting, but it&#39;s true! Hide d",60,-0.3609761836069156,1,3,56,98.8795,0,2,341.5,209446.5,1,2,0.0,92.5774,3.0,25.5,-0.2096,2.5,0.5,7,2,4
70,4959779241332077,7827320797,0,1,1,0,"Hypocritical dog lovers are really funny. There are more and more stray dogs on the streets, biting people and spreading diseases. Who is responsible? Everyone talks pretentiously and without any brains. Is it okay to have some moral merit?",31,-0.5483520925813092,1,2,29,99.1557,0,1,1010.0,10000.0,0,0,1.0,99.9961,2.0,26.0,0.0,0.0,4.0,3,4,4
75,4959708115374300,7201822613,1,3,1,0,"Trivia: People who are afraid of dogs or hate dogs will most likely not keep a dog, let alone abandon a puppy (not abandoning anything). So, where do stray dogs come from? I also strongly recommend improving the city’s pet-raising security measures, reviewing the qualifications of pet owners, standardizing pet-raising behaviors, starting from the source, whoever raises them will be responsible, and whoever throws them away will go to jail. If you give a dog hope, you can extinguish it cruelly. Just talking but not doing it, doing it but not doing it well, is not a good thing for both humans and dogs! Stray dogs on the streets need to be solved, and what needs to be discussed is how to solve them! Yes, you cannot kill all dogs just because one dog bites people, but these biting dogs need to be dealt with! How can it be that so many people who have been bitten across the country are innocent? Didn&#39;t they mess with the dogs? If a dog has a human-hatred stress response, a large part of it is the fault of the &quot;dog lovers&quot; who abandoned it. After all, &quot;dogs are humans&#39; friends and they won&#39;t bite if you don&#39;t mess with them.&quot; That&#39;s because of acquired causes! If you say &quot;no killing&quot; and &quot;the world is our home&quot; to deny any possibility of a reasonable solution, it will only obliterate the ordinary efforts of civilized dog owners and truly caring people! There are also civilized dog owners around me, and I don’t see anyone having any objections to them ~ Don’t be too absolute with your words, and don’t be too sentimental about your feelings! Because selfish excuses and reasons really sieve people ~ everyone is selfish, but their standpoints are different. You are afraid of dogs dying, and some people are also afraid of being bitten to death by dogs. Who is kinder than the other? Then don&#39;t act like you&#39;re standing on the moral high ground of nature. It&#39;s disgusting to be pretentious! Hide d",173,-0.3052010040417924,5,6,170,100.0,0,1,327.0,25.0,1,2,0.0,92.6272,2.0,39.0,-0.1161,2.0,3.0,16,17,4
83,4959621700390273,5510697935,0,0,1,0,"There are as many as 40 million stray dogs in China. Up to 40 million people are bitten in China every year, of which more than 600 people die from rabies attacks due to bites. This number is shocking. However, public figures like Li Xiaoran, Joker Xue, Yang Di, etc. have not been seen to speak out for those innocent lives, but they are doing nothing for stray dogs that are harmful to society. This kind of artist who does not distinguish between right and wrong is always in trouble. If you really care for stray dogs, would you spend 10 million every year to build a stray dog reception center so that these stray dogs can live a happy life? Hide d",69,-0.1822703122957489,0,3,69,100.0,0,1,387.0,70.0,0,2,0.0,99.8766,2.0,18.0,-3.8145,2.0,1.0,0,2,4
85,4959616741936229,6865526227,552,2365,188,0,"[[, How to control stray dogs has become the most urgent social security issue in the safest country in the world. So, how to control the problem of stray dogs? This has to be said about Germany. The Germans&#39; regulations on raising dogs are really strict and are engraved in the hearts of Germans. Let China copy it, there is indeed something worth learning from capitalism. Here’s a summary of some of the rules for raising dogs in Germany: 1. Keeping a dog requires the consent of your neighbors. When raising a dog in Germany, you must first obtain the consent of your neighbors and ensure that it will not affect their lives. You can&#39;t let your dog urinate randomly, and you can&#39;t let your dog bark at home and disturb your neighbors&#39; rest. If you violate these regulations, you may be subject to fines or other penalties. 2. Dog owners and dogs must go to dog school. It costs 50 euros per hour to raise a dog in Germany. After your neighbor agrees, you have to take your puppy to dog school, from kindergarten to junior high school, and then the high school graduation exam. You and you Only when dogs get their diplomas can they enter society. 3. You have to pay tax for raising a dog. You have to pay it every year. Taking Berlin as an example, you need to pay 120 euros in tax every year to raise the first dog, and you have to pay another 180 euros to raise the second dog. If you keep a dog secretly without paying taxes, If found, a fine of 10,000 euros will be imposed. 4. Dog owners should buy insurance for their dogs. Dog owners should buy insurance for their dogs with a compensation of no less than 1 million euros. Under normal circumstances, German dog owners need to pay an annual insurance premium of 75 to 270 euros for their dogs, and dangerous dogs have to pay more than 30% more premiums. 5. Dog owners must spend enough time with their dogs. When raising a dog in Germany, dog owners need to spend a certain amount of time with their dogs. For example, owners should take their dogs with them when they go out, and they cannot let their dogs stay alone for more than 3 hours. If you do not walk your dog for a long time, someone will complain to an animal protection organization. The charge is that you torture small animals. 6. Dog owners are fined 90,000 euros for abandoning dogs. German law stipulates that anyone who abandons a dog (including those who move and leaves the dog in the same place) must be fined 90,000 euros and may be imprisoned for 3 years. 7. The chip must be implanted at your own expense. The European Union stipulates that all pets (cats, dogs, and minks) must have ID numbers. There are two forms available: one is to tattoo the number on a conspicuous part of the pet&#39;s skin; the other is to implant it under the skin. Enter the microchip. 8. Adoption costs money. In Germany, adoption is not free. For example, in Berlin, the cost of adopting a dog is generally 205 euros. 9. Documents are required. The pet’s identity certificate and health certificate are essential! 10. Dogs are not allowed to enter some public places. Dogs are strictly prohibited from entering children&#39;s playgrounds, leisure lawns, swimming pools and other places marked &quot;Dogs are not allowed&quot;. Those who fail to supervise dogs in public places will be fined 10,000 euros. 11. Feeding stray dogs is deemed as having custody. If a stray dog bites someone, the person feeding it will be responsible for compensation. 12. Stray dogs that are not adopted are killed. In Germany, stray dogs captured by the government are killed if no one pays to adopt them within ten days. Therefore, there are no stray dogs on the streets in Germany now...",282,-0.1449918828101822,5,8,278,100.0,0,80,435.7625,10000.0,26,23,0.75,74.7225,3.5556,13.9,-0.2932,0.3375,0.825,8,25,4
87,4959591754629167,5569440479,1,1,1,0,"Originally, I wanted to cull urban ferocious dogs, but small dogs should be treated differently. They should be adopted or left as stray dogs. After all, small dogs can do no harm. However, animal protection is really scary. Millions of people were bombed in Gaza and no one saw their sympathy. When a little girl was bitten, they showed no concern. Now when dealing with stray dogs, they start to make a fuss. The key is that just scolding someone is inhumane, and it is impossible to ignore it completely. After all, who will be responsible for biting someone again, who is opposed to culling? Stray dogs are indeed not suitable for living in densely populated cities. How about adopting them as soon as possible? If they cannot be adopted, they can only be rendered harmless, or dog lovers can donate money and help to build shelters. If you love dogs, you have to raise dogs that no one wants. Otherwise, what is it called loving dogs? The more pitiful the dog, the more it should be adopted. Breeding new puppies is completely unnecessary. If a stray dog is adopted, everyone in the world will be happy. If you don’t want to adopt something so harmless, everyone is a cruel executioner. What’s the point of scolding the person responsible for handling the dog? Why let someone be the villain and then maintain the illusion of kindness with peace of mind? It’s too white and left-handed. Hide d",132,-0.513425236395899,5,9,118,99.999,0,1,292.0,12.0,2,2,0.0,99.9994,2.0,62.0,-0.8311,4.0,6.0,6,8,4
89,4959581421176081,7489899045,0,0,3,0,"After seeing so many discussions about stray dogs, I just want to ask: Who is responsible for stray dogs biting people😱Who is responsible for stray dogs biting people😱Who is responsible for stray dogs biting people😱",18,2.257658899850829,1,0,20,99.994,0,2,120.0,5.5,0,3,0.0,49.738,1.0,22.5,-0.8568,1.5,0.0,0,3,4
91,4959565792674816,1751752003,0,2,2,0,"Netizens have been quarreling over the issue of stray dogs these days. Personally, I really, really hate people who don’t leash their dogs! Big or small dogs! There is a puppy in the community that always wanders by itself and suddenly rushes towards you. It is very dangerous on the stairs, so I often go crazy in the property group, scaring or injuring my child. Don’t let the dog owner contact the property owner by then. One person dares to stand up and take responsibility! All dog owners are unscrupulous, but if you are virtuous, you may not necessarily understand that your dog may not be able to watch! Just listen to the sentence &quot;My dog doesn&#39;t bite&quot;... I still hope that there will be no more stray dogs, and then a relevant no-lead dog policy will be introduced, preferably one that will cause heartache! ! Hide d",88,-0.2432822202497647,1,1,88,74.2744,0,1,40.0,1.0,0,0,1.0,23.4671,0.5,59.0,-0.1215,1.0,2.0,2,6,4
92,4959549514580880,6982536972,13,435,178,0,This dog lover said that stray dogs biting people should be treated as accidents and they should be responsible for themselves,11,0.0,0,0,12,99.8053,0,50,485.68,10000.0,19,24,0.68,61.6543,1.6,15.36,-0.15,0.44,0.8,0,1,4
