,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,goodness,happiness,sadness,anger,afraid,disgust,surprise,positive_prob,sub_probs
10,"Is there anyone who can help this dog? I saw him when I was passing by Lingshi Road in Baoshan District today. His whole body was red and he had a serious skin disease, and he was bleeding in some places. I went to several pet shops and asked, but they didn&#39;t accept her. The hospital was only responsible for medical treatment but not hospitalization. I didn&#39;t have the conditions to adopt one myself. So when I looked for rescue centers online, either my phone number was empty or it was full and they wouldn&#39;t accept her. Finally, I found the owner, who manages a nearby garbage station. There is a 10-year-old daughter who takes care of the dog. However, since the dog got a skin disease, the owner took medicine for a month and it didn’t feel better. I didn’t want it anymore (I took a look) The only medicine available is an antibacterial spray) The owner lost his dog once, but the dog found it on his own. I cried to death. I temporarily bought an Elizabethan ring for him to wear, and offered to pay for anti-inflammatory drugs and sprays for the dog, but The owner still plans to get rid of the dog, but it may not happen one day. I asked the little girl for a photo from before. It was really cute. The dog is now super well-behaved and does not bite. It was really uncomfortable. The little girl promised me to take care of his father first. Is there any kind person who can rescue and adopt? I am willing to pay the fee together. 2 Shanghai·Lingshi Road close d",140,0.053205298540830746,8,1,134,8,1,1,0,2,1,0,0.07,"[0.4584553641256851, 0.08229031009294008, 0.4422430177989325, 0.05999935216775387, 0.5954494480541334, 0.04984755854743239, 0.6725777037376818, 0.11763479195572535, 0.7822494514009848, 0.0736648047777424, 0.6314785614871952, 0.7630653089069456, 0.2018162689013724, 0.9090661865585491, 0.9285223507652719, 0.17763619779359574, 0.8535098676161985, 0.9350147972085631, 0.0574547520230303]"
11,"Another child who was bitten by a dog and sent to the ICU for rescue had an owner, but no leash. I saw many comment sections saying, &quot;Alaska is so docile, how could it bite people?&quot; with expressions of disbelief on their faces. Everything that is owned by someone is animalistic, let alone an unsupervised stray dog? So many big V stars are calling for donations to set up a stray pet fund to save dogs and scared people. Otherwise, if stray dogs often appear in a certain area, don’t morally kidnap parents who are worried about their children’s safety and clean them up. If you say you won&#39;t bite, who will be the guarantor? At least if something goes wrong, you can find someone to take responsibility instead of just beating him to death. L Saitama ONE1&#39;s Weibo video is closed d",97,-0.12012368268315442,5,3,89,5,1,0,0,3,3,0,99.9985,"[0.5698773497241177, 0.625, 0.23082833962758653, 0.5475214418326717, 0.4709855667359052, 0.46179790282394506, 0.6533717974611661, 0.5781364999595334, 0.13458121540055934, 0.9991574719821023, 0.39328332640132546, 0.8954474499495073, 0.9939862152104412, 0.4898791214955781, 0.48812249416834397, 0.5776558768007855]"
12,"[A mad dog in Guangxi bit many people in the village. Police: The dog has been killed and the owner is being found] On October 22, a woman in Pingnan Town, Lingshan County, Qinzhou, Guangxi was bitten by a mad dog when she entered a store. Staff at the Pingnan Police Station in Lingshan County said that the mad dog involved had been killed. Currently, it is estimated that 5 or 6 people have been bitten. The police are looking for the owner of the dog in the village. The family members of the bitten woman said that the woman&#39;s leg was injured and she had been injected with rabies vaccine and rabies immune globulin. She said that an old man in the village was bitten on the stomach and feet by a dog and was seriously injured. The relevant person in charge of the village committee said that several people bitten by dogs in the village have now sought medical treatment. LObserver.com’s Weibo videoCollapse d",77,-0.04746210784163908,1,2,80,0,0,0,0,0,0,0,4.7897,"[0.8513856598348268, 0.07272748721844435, 0.643879576700564, 0.15013573926132961, 0.12221220322559456, 0.4535172423871703, 0.8999296205504165, 0.1427539518014488, 0.5994200762442361, 0.9887430462475186, 0.8553485127219433, 0.5262327818078083, 0.11166582379327039, 0.5821597589516778, 0.18744737773624187, 0.24010805959947978, 0.4966642538284962]"
13,"Celebrities don&#39;t care about a boy bitten by a dog. They only call for the protection of stray dogs. Why should we rationalize the disposal of stray dogs? Because no one is responsible for them biting people. The stars won&#39;t pay a penny. If an owned dog bites someone, you can seek compensation from the owner. But what about a dog without an owner? Who to look for?",37,-1.7347234759768072e-19,5,0,32,2,0,0,0,0,0,0,81.7329,"[0.9480073585087774, 0.6830320477735703, 0.9833003635463236, 0.12004233756636251, 0.27887995698265045, 0.4647076424303621, 0.10118418597585288, 0.6433370135939234, 0.3251433251433251]"
14,"I really hate that irresponsible Rottweiler owner. You really killed all the stray dogs around me who were neither noisy nor biting. It was miserable enough for them to be abandoned by their owners, and now they have to be beaten with steel rods. Beat him to death with a stick, and you won&#39;t even be able to resist before you die. Let me see how many lives you will bear on your back.",44,-0.9036612564218688,0,3,42,1,0,0,0,0,1,0,0.6727,"[0.7977834157393766, 0.17190162707538836, 0.9245820292471002, 0.007219594566926557, 0.10771543875946132, 0.5650645006372979]"
15,"Record: Yesterday I posted an analysis on the psychology of dog biting in the owner group and was scolded. I personally like well-behaved puppies, but I am a little scared when I see a dog without a leash. One day I was riding in the elevator and saw a closed There was an owner with his puppy in the elevator. He didn&#39;t dare to sit on it without a leash, so he decided to take the next elevator. But I didn&#39;t estimate the time. When the elevator opened, the dog owner was still inside. The dog owner was very unhappy and started to blame me. This caused a shadow in my mind. After I was scolded that day, I spoke for the first time in the owner group, told my story, and suggested that everyone keep their dogs on leashes. I said it several times, but no one paid any attention to me. That day, in order to vent my emotions, I changed the group nickname to &quot;Walking a dog without a leash is equivalent to walking a dog&quot; (an online jingle). Until the recent incidents of dogs hurting people, everyone was paying attention to stray dogs, and some people said that it was true. I also support keeping dogs on leashes. Yesterday I saw a video on Station B. It was an up owner who patiently analyzed the dog&#39;s psychology starting from a puppy biting video and taught us how to respect and love dogs. I think it is particularly useful. I have never hated dogs. What I hate the most is scoundrels who walk their dogs without leashes. So I shared this video to the owner group, hoping it would help others. After that I went about my own business. As a result, I was watching the group this morning and found that an owner was scolding me in the group, saying that I was &quot;endless, 💩eating too much&quot;, and her nickname was also changed to a sentence that scolded me. I took a look at her signature and it read, &quot;A dog is always a dog, and a human is not necessarily a human being.&quot; (Apart from the aspect directed at me, this is what she said.) I would also be angry, but I think she might not be a human at all. I didn’t look carefully at what I was sharing, and started scolding me just by looking at the title. Then he replied: &quot;I&#39;m sorry, have you watched the video I shared in full? The whole video is about analyzing how to treat puppies better through case studies. My nickname is just for some uncivilized dogs who walk without leash. The scoundrels on the rope have never had any opinions on puppies, and they only target irresponsible dog owners. The puppies are punished because of the owner&#39;s irresponsibility. I see that your signature is also a dog lover, and I don&#39;t want to quarrel with you. . Or are you right? Are you the one who walks the dog without a leash? I don’t think so.” After that, I felt that the nickname was not very good. The dog was not guilty after all, so I changed the name to “dog walking the dog”. ” was changed to “dog-luo-ren”. I think everyone should watch that video, it’s really detailed. When we communicate with dogs, we must use dogs’ civilized and polite ways to avoid harming dogs and ourselves. Hide d",237,-0.11762227832017577,7,7,229,12,2,2,1,2,9,0,100.0,"[0.9798306146800299, 0.15514973755671335, 0.31485778487952343, 0.566775229666836, 0.23082833962758653, 0.40133227753869016, 0.5674459535084202, 0.21133753385798282, 0.08114470651539385, 0.7105300953050792, 0.505718616896114, 0.556261960411004, 0.4869070358304928, 0.35676982934468593, 0.5456830674768556, 0.24164870967177698, 0.7970562790939145, 0.34070363836505924, 0.16129032258064513, 0.8887612029356499, 0.2620314909351571, 0.6386420786968939, 0.9873626938052273, 0.7478181158043072, 0.626712328767123, 0.7418503245159378, 0.952412559364098, 0.9599367382641348, 0.8194713815311182, 0.8210971246997814, 0.9041528380888415, 0.8900830165071113, 0.8060188969873375, 0.2459222285299123, 0.4295335490261334, 0.1197156601031577, 0.21645485038165513, 0.492469005223213, 0.17629049475894243, 0.5797277110772712, 0.7629561875149738, 0.3993044390622792, 0.24425281441857105, 0.8769924312511754, 0.21974361784614438, 0.42249139806012737, 0.9823114862559431, 0.9969610734020109, 0.8974711099111157, 0.6391299294972014, 0.1148941042712901, 0.1862232387332159, 0.8323470933970826, 0.10450876752956928, 0.88331895854438, 0.5662421252214767, 0.5262327818078083, 0.19918116595752722, 0.7583890706419437, 0.7973375558569993, 0.8558562699610953, 0.877259974245071, 0.769533116644666, 0.7348530370536749, 0.75635195945038, 0.4737672181921908]"
16,"【】October 27, Hunan. The uncle was walking three dogs, none of them on leashes. The two small dogs were wearing dog muzzles, but the big dog was not. He met a woman walking her dog. The large dog, which was not wearing a muzzle, bit the woman&#39;s dog and then bit the woman&#39;s leg. The woman collapsed on the spot, screaming and crying. Some netizens claimed that the uncle refused to compensate the woman for all her medical expenses. What do you think for this? LGreat Bay Area Video’s Weibo videoCollapse d",55,-0.5153138810116624,0,2,56,3,0,1,0,0,1,0,99.9833,"[0.13882900508693463, 0.5555555555555554, 0.8358517517897114, 0.44762563088626384, 0.9609509718275662, 0.94893661647961, 0.9345962293970038, 0.9932326096601681, 0.1761197823442303, 0.3104160936911723, 0.14626776364794036, 0.5262327818078083, 0.5875212430201505, 0.5302687053214749]"
17,"Reply to @豆丝豆片豆丝片: To be honest, I am really speechless for people like you. Why should you define all stray dogs just because a stray dog bites people? Why should all stray dogs be allowed to suffer? to bear",30,0.6831520208001537,2,0,31,0,0,0,0,0,1,0,99.995,"[0.9844934658761593, 0.9824623532151856, 0.8740013419085478]"
18,"The blame lies with irresponsible dog owners and the dogs that bite. But there are dogs that bite people aggressively, and there are also docile and kind dogs. Just like there are good people and bad people, will we cull everyone because of the risk of bad people... What we should do is not cull stray dogs. This cannot be done. To solve all problems, as long as there are people who keep and discard them, there will always be stray dogs, and the dogs that hurt people are not necessarily stray dogs, the probability is not high. What we need to do is to regulate the behavior of dog owners, and then ban the breeding of aggressive dogs that pose a greater risk of harming human rights. Once the dog-raising regulations are violated, fines and other punitive measures will be imposed... As for abandoned stray dogs, The issue of rescue is a difficult one. If an abandoned stray dog commits an injurious act, the punishment should also be clearly defined... Hide d",81,-0.5210109835786275,2,7,73,8,1,1,0,0,7,0,100.0,"[0.4616729553200639, 0.5476643856714039, 0.19085735993094088, 0.9340824531085984, 0.9149067491037445, 0.6666666666666666, 0.9798604111208075, 0.2406096681663269, 0.5575382771240234, 0.9530558741649247, 0.9649980440593507, 0.3981475294599133, 0.9181616189983899, 0.9825953834254376, 0.5, 0.8073087133981288, 0.9758674137089416, 0.834338566933595, 0.8696626192315011, 0.15190880966327514]"
19,"What is the relationship between pets and people? It&#39;s very simple. Pets are essentially commodities that people buy, just like cars and appliances, or to put it more bluntly, just like toys. When people buy pets, pets provide emotional value, a channel for emotional sustenance, and emotional comfort; and pets get three meals a day, a place to shelter from wind and rain, and are protected by their owners from natural enemies. danger. Fair dealing, everyone gets what he needs. In fact, the relationship is that simple. Cars, electrical appliances, and toys are produced on factory assembly lines and are sold as commodities; pets are also bred in specialized pet breeding bases and are bred for the purpose of being sold as commodities. When people find that cars, electrical appliances, and toys have been used for a long time and have various problems and they no longer want to use them, they can be sold as second-hand goods or sent to scrap recycling stations as scrap. The same goes for pets. Similarly, discarding cars, electrical appliances, and toys at will will have an impact on the surrounding environment and cannot be discarded at will. Since pets are alive, they can walk, run, bite, and poop everywhere, so discarding pets at will has a greater impact; what should we do? Woolen cloth? It&#39;s very simple, just like commodities, establish a second-hand pet market to trade second-hand pets, and establish a pet recycling station to slaughter pets. This is the optimal solution for society. Pets are bred from breeding bases and sold as commodities. It is estimated that millions of pet dogs are bred across the country every year. There are actually calls for the establishment of shelters for stray dogs. If such an institution is really established, it will really generate income for the pet dog breeding and breeding base. Those who shout to protect pets, those who stop dog-selling trucks to rescue pet dogs, if they can spend their own money to build a zoo for the rescued pet dogs, provide three meals a day, and show their love, then there is no need any problem. But if you are just responsible for the rescue, regardless of the follow-up, it is actually a selfish behavior. You gain moral satisfaction and desire for expression, while leaving the responsibility and cost to others in society. Hide d",174,0.005261924793405128,8,4,165,37,8,1,0,0,3,0,100.0,"[0.8783974827689827, 0.7371301608055256, 0.922343887372643, 0.7092095885372235, 0.34247909445178637, 0.7436532200428813, 0.8571248879415403, 0.9849410330467532, 0.949190138770255, 0.9678470049159561, 0.4479753654049471, 0.699844550390848, 0.06679851649128365, 0.8571428571428571, 0.6534188487550137, 0.9516815862735888, 0.4651310324809791, 0.9659647382378029, 0.9037998004321126, 0.598007266008431, 0.4741726491999726, 0.18252923683495315, 0.15978649243168153, 0.7499999999999999, 0.961604438186448, 0.6067735352639767, 0.7297953905324696, 0.6436326929483005, 0.3468815815924535, 0.8925361208043306, 0.3406113537117904, 0.7371301608055256, 0.4842105263157894, 0.057023011540112134, 0.749135871399599, 0.8854884900036022, 0.5425296028096631, 0.8859540861628277, 0.8922895646531053, 0.1678639179040189, 0.6267434360664088, 0.9418770281810548, 0.8229423306979143, 0.20469581449987861, 0.8943501909115756, 0.4149473005667189, 0.9864126458363076, 0.5262327818078083, 0.32212744388278036, 0.5999999999999999, 0.47810505531729497, 0.9164084486828034, 0.9508658046165631, 0.3537414965986396, 0.6620083687063814, 0.4737672181921908]"
20,"The wait is finally here! CCTV speaks out for stray cats and dogs, and the views of legal experts are even more surprising: one dog is wrong, and thousands of dogs and cats pay the bill. After the Rottweiler incident in Chongzhou, Chengdu, too many innocent stray animals have died on the streets. Some of them were injured by residents in the community, and some were killed by security guards for the safety of residents. In short, their deaths should not have been such an accident. As time passed, we finally waited for CCTV’s announcement! This time, CCTV also spoke for stray cats and dogs! Is it the human&#39;s fault or the dog&#39;s? Looking back at the original Rottweiler biting incident, you will find that if you want to prevent the incident from happening, you only need one key person, which is the dog&#39;s owner. If the offending dog is led by a leash when going out, it is supervised by its owner. , presumably it cannot hurt the child no matter what. Unfortunately, the dog was not leashed and the owner did not surrender until early in the morning, so it was too late. The first responsible party in this matter is the dog, but the specific responsible person behind this responsible party is the owner of the dog. It is precisely for this reason that after the incident happened, the girl’s family will hold the other party responsible, and the dog owner will also Forced to surrender. Why shouldn’t people pay for their faults? CCTV’s views have also been supported by many experts and scholars. A law professor at a university even bluntly said that protecting animals is actually protecting people. A law professor is obviously an expert in his professional field. Why does he have such surprising views? I think maybe it&#39;s because this professor understands the essence of the matter. Many times, people deal with cats and dogs vigorously and resolutely, not because they are speaking out for justice, but to satisfy their own inner desires. People use this behavior to vent their emotions, thinking that stray animals will not speak for themselves, and we do not need to pay a price or bear any responsibility for any of our actions. But if such atrocities continue unchecked, then when one day those who harm animals are no longer satisfied with harming animals, where will they turn their attention? I think it is precisely with this in mind that law professors come up with the idea that protecting animals means protecting people. A professor at Tsinghua University also pointed out that human behavior is the main cause of stray dogs. This point of view summarizes many facts, which are actually deliberately ignored by some people. Some people treat cats and dogs as pets. They buy them with money and throw them away when they don&#39;t like them. There are more and more stray animals in the city, but why don&#39;t we think about why there are so many stray animals in the city? What did these stray animals go through before they became stray animals? Some netizens mentioned the disposal of animals abroad. Every pet owner has a responsibility for his or her pet. If a pet is abandoned, the pet owner must bear the responsibility. This responsibility is specific and will make them Don’t dare abandon your pets easily. With punishment, there will be fewer and fewer abandoned animals, and the number of stray animals will not be able to grow so fast. In the final analysis, solving the root cause of stray animals is not about dealing with the animals, but to prevent such behavior from happening again. This is reasonable and controllable. This time, CCTV has spoken out, as have university professors, experts and scholars. I wonder if these wise and rational remarks can make people who are trapped in emotions completely wake up and seriously think about the nature of this issue? Hide d",284,0.0025228175952312294,9,5,271,19,5,7,1,0,18,0,100.0,"[0.5870307167235498, 0.9817156389502575, 0.9966091525671543, 0.7162586189964235, 0.6308497257707815, 0.8481422574095879, 0.6039563921428761, 0.11560778023239093, 0.7850467289719625, 0.8807130406818579, 0.9568768910584342, 0.9007579656275716, 0.4726368159203981, 0.9802752961663656, 0.1991789856470929, 0.23235587427384674, 0.967865623328625, 0.49994434556332545, 0.7476676635520679, 0.6686452007268658, 0.5209487263374977, 0.3104160936911723, 0.8747765400768501, 0.9010628414223731, 0.344671063943497, 0.4354054623492508, 0.5594846616959019, 0.5835953217828492, 0.6686452007268658, 0.7857142857142858, 0.5840391341372286, 0.25895537438575467, 0.9157186271070038, 0.22997639155765603, 0.22599559174922734, 0.7048101632132571, 0.9857103876965627, 0.8971048989340484, 0.9429412185849433, 0.8715129056507924, 0.9904967468098171, 0.9582736535305463, 0.5441789912779675, 0.9890982195521173, 0.6543033761293389, 0.710430101765849, 0.6890239187396447, 0.9039775397455817, 0.9674175231501296, 0.9823781246549379, 0.906535577928918, 0.2087965795776262, 0.5, 0.7297953905324703, 0.9919546000107708, 0.7248403332664425, 0.5441789912779675, 0.7418408510570157, 0.9833112883593165, 0.5223427836778286, 0.8641510353180105, 0.5171715713427059, 0.9517746276478849, 0.7854786801093873, 0.1571384260774713, 0.4007801783995063, 0.9937914561877225, 0.8601911239599304, 0.9920169238409355, 0.9890146070072153, 0.9890146070072153, 0.6590909090909092, 0.9079949309268432, 0.7163309308780548, 0.9110518547334651, 0.2603252805521711, 0.3985776921213121, 0.7680767563367699, 0.8571428571428571, 0.9583920613259291, 0.985909545094717, 0.4166666666666664, 0.9954589379627647, 0.7599188991385847, 0.5637213903384268, 0.36307642375972804, 0.4726368159203981, 0.6117295695113586, 0.9967034953713075, 0.9364153526442501, 0.9849430629688523, 0.9639930531168741, 0.4737672181921908]"
21,"When a stray dog bites someone, who claims to love dogs dares to stand up and say: I will be responsible for L Nuanxi Jiang’s Weibo video",21,1.138469492171195,1,0,22,1,0,0,0,0,1,0,77.2665,"[0.942364904142952, 0.18757952928874877]"
22,"The incident of a Chengdu girl being bitten by a vicious dog is very distressing. In the final analysis, it is still a human problem. Behind countless dog troubles, they are the result of man-made disasters. Dog problems are essentially human problems. Vicious dogs hurt people, and the root cause of the problem is that the dog takes the blame. Dogs don’t understand human affairs, but people understand human affairs. If something goes wrong, the person must be responsible, right? The reason why there are so many stray dogs now is that dog owners just abandon them on a whim based on temporary interest. Over time, the dogs cause a lot of inconvenience and they are abandoned at will. As a result, there are more and more stray dogs, wild dogs form groups, and their wildness gradually becomes apparent. Emerge. In fact, this is nothing. Some dog owners are really not as good as dogs. They don’t clean up their dog’s feces, walk their dogs without leashing them, and let their dogs bark and run around. Not everyone is not afraid of dogs. If he reprimands his dog, he will immediately get angry and speak dirty words. The key point is that some people&#39;s dogs bite others, and they ask others, why did you mess with my dog, and insist that it was the fault of the person who bitten, and their hearts have become bad, and it is difficult to recover. I think it’s not the dog’s problem, it’s the people’s problem. It’s the people who harm the dogs. If you really love dogs, don&#39;t cause trouble to others. This is the best protection for dogs. People&#39;s lives have improved, and there is no objection to keeping dogs and pets, but they must not hinder others, must abide by social ethics, and must bear legal responsibility! Hide d",138,-0.15203793366770085,5,8,125,13,1,1,1,2,12,0,100.0,"[0.6613104463800908, 0.7049531158529444, 0.7440056243009969, 0.7472075136035831, 0.45611332727062914, 0.573529411764706, 0.7565945644868438, 0.593947140360537, 0.4527407032840376, 0.5952850198869687, 0.7334751695539682, 0.5109919311300349, 0.3693910911319984, 0.9478112513359778, 0.7300641439591607, 0.5601965601965605, 0.5418738830058176, 0.6985213659872451, 0.8404277372521654, 0.959006058673444, 0.9230200499406592, 0.8182313426953005, 0.5262327818078083, 0.44260145805121964, 0.5672420733352647, 0.37586731434609433, 0.4952959186339282, 0.16070258361999967, 0.4586591367823789, 0.5215393323544122, 0.19463830958014516, 0.5531549239358621, 0.6842105263157895, 0.6444838718524186, 0.5013490597296458, 0.7635185233718106, 0.12879184570959967, 0.5385756979886628, 0.9431652424488499, 0.5, 0.414937281250343, 0.5702515177797052, 0.5476643856714039, 0.8793971778844739, 0.2047195640692573, 0.6920284712711032, 0.9100369563521403, 0.2882278620386288, 0.5999999999999999, 0.12532148404972787, 0.7618909744517207, 0.4737672181921908]"
23,"I feel sorry for stray dogs and stray cats. I don’t feel sorry for stray dogs and cats on the Internet. Who can’t use words or control stray dogs and stray cats? Who is responsible for biting someone? Did the person who was bitten deserve it? All owned dogs are at risk of biting, let alone ownerless ones.",31,-0.5847565696290936,1,1,30,1,0,2,1,0,2,0,99.9734,"[0.9960260810479479, 0.05893951966517752, 0.9907341184443469, 0.7448862699116916, 0.5824976116805625, 0.4815398239801004]"
24,"I clicked it, and I was confused in the comment section. Dogs with owners are private property, and stray dogs that are left unattended should not be hunted and kept to bite people (the school has an association responsible for free-range pets).",33,-1.8068583000183434,0,0,33,2,0,0,0,0,0,0,99.9543,"[0.43653543307086606, 0.5517872323582363, 0.9168957922605375, 0.9965027414576576]"
